Incident_Id,Bias,Cluster
153045,Anti-Jewish,Religion or Belief
153046,Anti-Jewish,Religion or Belief
153047,Anti-Jewish,Religion or Belief
152636,Anti-Black or African American,Racial or Ethnicity
152637,Anti-Gay (Male),Sexual Orientation
152638,Anti-Black or African American,Racial or Ethnicity
152639,Anti-Bisexual,Sexual Orientation
152640,Anti-Black or African American,Racial or Ethnicity
152641,Anti-Gay (Male),Sexual Orientation
152642,Anti-Catholic,Religion or Belief
152643,Anti-Jewish,Religion or Belief
152644,Anti-Gay (Male),Sexual Orientation
152645,Anti-Black or African American,Racial or Ethnicity
152646,Anti-Hispanic or Latino,Racial or Ethnicity
152647,Anti-Jewish,Religion or Belief
152648,Anti-Hispanic or Latino,Racial or Ethnicity
152649,Anti-Black or African American,Racial or Ethnicity
152650,Anti-Black or African American,Racial or Ethnicity
152651,Anti-Black or African American,Racial or Ethnicity
152652,Anti-Hispanic or Latino,Racial or Ethnicity
152653,Anti-White,Racial or Ethnicity
152654,Anti-Black or African American,Racial or Ethnicity
152655,Anti-Asian,Racial or Ethnicity
152656,Anti-Black or African American,Racial or Ethnicity
152657,Anti-White,Racial or Ethnicity
152658,Anti-Jewish,Religion or Belief
152659,Anti-Jewish,Religion or Belief
152660,Anti-Jewish,Religion or Belief
152661,Anti-Jewish,Religion or Belief
152662,Anti-Jewish,Religion or Belief
152663,Anti-Jewish,Religion or Belief
152664,Anti-Jewish,Religion or Belief
152665,Anti-Black or African American,Racial or Ethnicity
152666,Anti-Black or African American,Racial or Ethnicity
152667,Anti-Black or African American,Racial or Ethnicity
152668,Anti-Black or African American,Racial or Ethnicity
152669,Anti-Black or African American,Racial or Ethnicity
152670,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
152671,Anti-Jewish,Religion or Belief
152672,Anti-Black or African American,Racial or Ethnicity
152673,Anti-Other Religion,Religion or Belief
152674,Anti-Protestant,Religion or Belief
152675,Anti-White,Racial or Ethnicity
152676,"Anti-Multiple Races, Group",Racial or Ethnicity
152677,Anti-Gay (Male),Sexual Orientation
152678,Anti-Black or African American,Racial or Ethnicity
152679,Anti-White,Racial or Ethnicity
152631,Anti-Gay (Male),Sexual Orientation
152632,Anti-Hispanic or Latino,Racial or Ethnicity
152633,Anti-Hispanic or Latino,Racial or Ethnicity
152634,Anti-Asian,Racial or Ethnicity
152635,Anti-Black or African American,Racial or Ethnicity
152576,Anti-Gay (Male),Sexual Orientation
152577,Anti-Black or African American,Racial or Ethnicity
152578,Anti-Gay (Male),Sexual Orientation
152579,Anti-Black or African American,Racial or Ethnicity
152580,Anti-Gay (Male),Sexual Orientation
152581,Anti-Black or African American,Racial or Ethnicity
152582,Anti-Lesbian (Female),Sexual Orientation
152583,Anti-Gay (Male),Sexual Orientation
152584,Anti-Black or African American,Racial or Ethnicity
152585,Anti-Black or African American,Racial or Ethnicity
152585,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
152586,Anti-Black or African American,Racial or Ethnicity
152587,Anti-Gay (Male),Sexual Orientation
152588,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
152589,Anti-Gay (Male),Sexual Orientation
152590,Anti-Black or African American,Racial or Ethnicity
152591,Anti-Jewish,Religion or Belief
152592,Anti-Jewish,Religion or Belief
152593,Anti-Black or African American,Racial or Ethnicity
152594,Anti-Gay (Male),Sexual Orientation
152595,Anti-Gay (Male),Sexual Orientation
152596,Anti-Black or African American,Racial or Ethnicity
152597,Anti-Jewish,Religion or Belief
152598,Anti-Black or African American,Racial or Ethnicity
152599,Anti-Gay (Male),Sexual Orientation
152600,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
152601,Anti-Gay (Male),Sexual Orientation
152602,Anti-Gay (Male),Sexual Orientation
152603,Anti-Black or African American,Racial or Ethnicity
152604,Anti-Jewish,Religion or Belief
152605,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
152606,Anti-Gay (Male),Sexual Orientation
152607,Anti-Islamic (Muslim),Religion or Belief
152608,Anti-Gay (Male),Sexual Orientation
152609,Anti-Gay (Male),Sexual Orientation
152610,Anti-Lesbian (Female),Sexual Orientation
152611,Anti-White,Racial or Ethnicity
152612,Anti-Hispanic or Latino,Racial or Ethnicity
152613,Anti-Black or African American,Racial or Ethnicity
152614,Anti-Jewish,Religion or Belief
152615,Anti-Black or African American,Racial or Ethnicity
152616,Anti-Gay (Male),Sexual Orientation
152617,Anti-Gay (Male),Sexual Orientation
152618,Anti-Gay (Male),Sexual Orientation
152619,Anti-Gay (Male),Sexual Orientation
152620,Anti-Black or African American,Racial or Ethnicity
152621,Anti-Gay (Male),Sexual Orientation
152622,Anti-Jewish,Religion or Belief
152623,Anti-Jewish,Religion or Belief
152624,Anti-Gay (Male),Sexual Orientation
152625,Anti-Black or African American,Racial or Ethnicity
152626,Anti-Gay (Male),Sexual Orientation
152627,Anti-Black or African American,Racial or Ethnicity
152628,Anti-Black or African American,Racial or Ethnicity
152629,Anti-Black or African American,Racial or Ethnicity
152630,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153048,Anti-Islamic (Muslim),Religion or Belief
153049,Anti-Black or African American,Racial or Ethnicity
153050,Anti-Black or African American,Racial or Ethnicity
153051,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153052,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153053,Anti-White,Racial or Ethnicity
153054,Anti-Black or African American,Racial or Ethnicity
153055,Anti-Other Religion,Religion or Belief
153056,Anti-Black or African American,Racial or Ethnicity
153057,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153058,Anti-White,Racial or Ethnicity
153059,Anti-Mental Disability,Disability
153060,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153061,Anti-Hispanic or Latino,Racial or Ethnicity
153062,Anti-American Indian or Alaska Native,Racial or Ethnicity
153063,Anti-Black or African American,Racial or Ethnicity
153064,Anti-Black or African American,Racial or Ethnicity
153065,Anti-Black or African American,Racial or Ethnicity
153066,Anti-Black or African American,Racial or Ethnicity
153067,Anti-Black or African American,Racial or Ethnicity
153068,Anti-Black or African American,Racial or Ethnicity
153069,Anti-White,Racial or Ethnicity
153070,Anti-Black or African American,Racial or Ethnicity
153071,Anti-Catholic,Religion or Belief
153072,Anti-Asian,Racial or Ethnicity
153073,Anti-Physical Disability,Disability
153074,Anti-White,Racial or Ethnicity
153075,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153076,Anti-Mental Disability,Disability
153077,Anti-Black or African American,Racial or Ethnicity
153078,Anti-Other Religion,Religion or Belief
153079,Anti-Gay (Male),Sexual Orientation
153080,Anti-Gay (Male),Sexual Orientation
153081,Anti-Black or African American,Racial or Ethnicity
153082,Anti-Jewish,Religion or Belief
153083,Anti-Black or African American,Racial or Ethnicity
153084,Anti-Black or African American,Racial or Ethnicity
153085,Anti-Black or African American,Racial or Ethnicity
153086,Anti-Black or African American,Racial or Ethnicity
153087,Anti-Black or African American,Racial or Ethnicity
153088,Anti-Black or African American,Racial or Ethnicity
153089,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153090,Anti-Black or African American,Racial or Ethnicity
153091,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153092,Anti-Islamic (Muslim),Religion or Belief
153093,Anti-Black or African American,Racial or Ethnicity
153094,"Anti-Multiple Races, Group",Racial or Ethnicity
153095,Anti-White,Racial or Ethnicity
153096,Anti-Black or African American,Racial or Ethnicity
153097,Anti-Hispanic or Latino,Racial or Ethnicity
153098,Anti-Gay (Male),Sexual Orientation
153099,Anti-Black or African American,Racial or Ethnicity
153100,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153101,Anti-Gay (Male),Sexual Orientation
153102,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153103,Anti-Black or African American,Racial or Ethnicity
153104,Anti-Black or African American,Racial or Ethnicity
153105,Anti-Black or African American,Racial or Ethnicity
153106,Anti-Black or African American,Racial or Ethnicity
153107,Anti-White,Racial or Ethnicity
153108,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153109,Anti-Jewish,Religion or Belief
153110,Anti-Black or African American,Racial or Ethnicity
153111,Anti-White,Racial or Ethnicity
153112,Anti-Asian,Racial or Ethnicity
153113,Anti-Hispanic or Latino,Racial or Ethnicity
153114,Anti-Black or African American,Racial or Ethnicity
153115,Anti-Black or African American,Racial or Ethnicity
153116,Anti-White,Racial or Ethnicity
153117,Anti-Asian,Racial or Ethnicity
153118,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153119,Anti-White,Racial or Ethnicity
153120,Anti-Black or African American,Racial or Ethnicity
153121,Anti-Black or African American,Racial or Ethnicity
153122,Anti-American Indian or Alaska Native,Racial or Ethnicity
153123,Anti-Black or African American,Racial or Ethnicity
153124,Anti-Black or African American,Racial or Ethnicity
153125,Anti-White,Racial or Ethnicity
153126,Anti-White,Racial or Ethnicity
153127,Anti-Black or African American,Racial or Ethnicity
153128,Anti-Black or African American,Racial or Ethnicity
153129,Anti-Black or African American,Racial or Ethnicity
153130,Anti-White,Racial or Ethnicity
153131,Anti-Black or African American,Racial or Ethnicity
153132,Anti-Black or African American,Racial or Ethnicity
153133,Anti-Black or African American,Racial or Ethnicity
153134,Anti-White,Racial or Ethnicity
153135,Anti-Hispanic or Latino,Racial or Ethnicity
153136,Anti-Black or African American,Racial or Ethnicity
153137,Anti-Black or African American,Racial or Ethnicity
153138,Anti-White,Racial or Ethnicity
153139,Anti-Hispanic or Latino,Racial or Ethnicity
153140,Anti-White,Racial or Ethnicity
153141,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153142,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153143,Anti-White,Racial or Ethnicity
153144,Anti-White,Racial or Ethnicity
153145,Anti-Black or African American,Racial or Ethnicity
153146,Anti-Black or African American,Racial or Ethnicity
153147,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153148,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153149,Anti-Black or African American,Racial or Ethnicity
153150,Anti-Black or African American,Racial or Ethnicity
153151,Anti-White,Racial or Ethnicity
153152,Anti-White,Racial or Ethnicity
153153,Anti-Black or African American,Racial or Ethnicity
153154,Anti-Gay (Male),Sexual Orientation
153155,Anti-Black or African American,Racial or Ethnicity
153156,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153157,Anti-Black or African American,Racial or Ethnicity
153158,Anti-Black or African American,Racial or Ethnicity
153159,Anti-Black or African American,Racial or Ethnicity
153160,Anti-Hispanic or Latino,Racial or Ethnicity
153161,Anti-Islamic (Muslim),Religion or Belief
153162,Anti-White,Racial or Ethnicity
153163,Anti-Hispanic or Latino,Racial or Ethnicity
153164,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153165,Anti-Black or African American,Racial or Ethnicity
153166,Anti-Black or African American,Racial or Ethnicity
153167,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153168,Anti-Black or African American,Racial or Ethnicity
153169,Anti-Asian,Racial or Ethnicity
153170,Anti-Black or African American,Racial or Ethnicity
153171,Anti-Black or African American,Racial or Ethnicity
153172,Anti-Black or African American,Racial or Ethnicity
153173,Anti-Black or African American,Racial or Ethnicity
153174,Anti-White,Racial or Ethnicity
153175,Anti-Black or African American,Racial or Ethnicity
153176,Anti-Black or African American,Racial or Ethnicity
153177,Anti-Islamic (Muslim),Religion or Belief
153178,Anti-Mental Disability,Disability
153179,Anti-Black or African American,Racial or Ethnicity
153180,Anti-Black or African American,Racial or Ethnicity
153181,Anti-Black or African American,Racial or Ethnicity
153182,Anti-Jewish,Religion or Belief
153183,Anti-White,Racial or Ethnicity
153184,Anti-Black or African American,Racial or Ethnicity
153185,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153186,Anti-Black or African American,Racial or Ethnicity
153187,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153188,Anti-Black or African American,Racial or Ethnicity
153189,Anti-Black or African American,Racial or Ethnicity
153190,Anti-Black or African American,Racial or Ethnicity
153191,Anti-Black or African American,Racial or Ethnicity
153192,Anti-Black or African American,Racial or Ethnicity
153193,Anti-White,Racial or Ethnicity
153194,Anti-Black or African American,Racial or Ethnicity
153195,Anti-Black or African American,Racial or Ethnicity
153196,Anti-American Indian or Alaska Native,Racial or Ethnicity
153197,Anti-Black or African American,Racial or Ethnicity
153198,Anti-Gay (Male),Sexual Orientation
153199,Anti-Jewish,Religion or Belief
153200,Anti-Black or African American,Racial or Ethnicity
153201,Anti-Black or African American,Racial or Ethnicity
153202,Anti-Black or African American,Racial or Ethnicity
153203,Anti-Gay (Male),Sexual Orientation
153204,Anti-Black or African American,Racial or Ethnicity
153205,Anti-Islamic (Muslim),Religion or Belief
153206,Anti-Black or African American,Racial or Ethnicity
153207,Anti-Lesbian (Female),Sexual Orientation
153208,"Anti-Multiple Religions, Group",Religion or Belief
153209,Anti-Black or African American,Racial or Ethnicity
153210,Anti-Black or African American,Racial or Ethnicity
153211,Anti-Black or African American,Racial or Ethnicity
153212,Anti-Black or African American,Racial or Ethnicity
153213,Anti-Physical Disability,Disability
153214,Anti-Asian,Racial or Ethnicity
153215,Anti-Protestant,Religion or Belief
153216,Anti-Jewish,Religion or Belief
153217,"Anti-Multiple Races, Group",Racial or Ethnicity
153218,Anti-Black or African American,Racial or Ethnicity
153219,Anti-Black or African American,Racial or Ethnicity
153220,Anti-Black or African American,Racial or Ethnicity
153221,Anti-Black or African American,Racial or Ethnicity
153222,Anti-Black or African American,Racial or Ethnicity
153223,Anti-Black or African American,Racial or Ethnicity
153224,Anti-Lesbian (Female),Sexual Orientation
153225,Anti-Black or African American,Racial or Ethnicity
153226,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153227,Anti-White,Racial or Ethnicity
153228,Anti-Black or African American,Racial or Ethnicity
153229,Anti-Jewish,Religion or Belief
153230,Anti-Black or African American,Racial or Ethnicity
153231,Anti-Black or African American,Racial or Ethnicity
153232,Anti-Black or African American,Racial or Ethnicity
153233,Anti-Black or African American,Racial or Ethnicity
153234,Anti-Black or African American,Racial or Ethnicity
153235,Anti-Black or African American,Racial or Ethnicity
153236,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153237,Anti-Black or African American,Racial or Ethnicity
153238,Anti-Black or African American,Racial or Ethnicity
153239,Anti-Black or African American,Racial or Ethnicity
153240,Anti-Black or African American,Racial or Ethnicity
153241,Anti-White,Racial or Ethnicity
153242,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153243,Anti-Hispanic or Latino,Racial or Ethnicity
153244,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153245,Anti-Black or African American,Racial or Ethnicity
153246,Anti-Black or African American,Racial or Ethnicity
153247,Anti-Physical Disability,Disability
153248,Anti-Other Religion,Religion or Belief
153249,Anti-Black or African American,Racial or Ethnicity
153250,Anti-Islamic (Muslim),Religion or Belief
153251,Anti-White,Racial or Ethnicity
153252,Anti-Islamic (Muslim),Religion or Belief
153253,Anti-Black or African American,Racial or Ethnicity
153254,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153255,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153256,Anti-Jewish,Religion or Belief
153257,Anti-Jewish,Religion or Belief
153258,Anti-Black or African American,Racial or Ethnicity
153259,Anti-Black or African American,Racial or Ethnicity
153260,Anti-Islamic (Muslim),Religion or Belief
153261,Anti-White,Racial or Ethnicity
153262,Anti-Black or African American,Racial or Ethnicity
153263,Anti-Black or African American,Racial or Ethnicity
153264,Anti-Jewish,Religion or Belief
153265,Anti-Jewish,Religion or Belief
153266,Anti-Black or African American,Racial or Ethnicity
153267,Anti-White,Racial or Ethnicity
153268,Anti-Black or African American,Racial or Ethnicity
153269,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153270,Anti-Other Religion,Religion or Belief
153271,Anti-Black or African American,Racial or Ethnicity
153272,Anti-Black or African American,Racial or Ethnicity
153273,Anti-White,Racial or Ethnicity
153274,Anti-Asian,Racial or Ethnicity
153275,Anti-Gay (Male),Sexual Orientation
153276,Anti-Gay (Male),Sexual Orientation
153277,Anti-Black or African American,Racial or Ethnicity
153278,Anti-Black or African American,Racial or Ethnicity
153279,Anti-Black or African American,Racial or Ethnicity
153280,Anti-Black or African American,Racial or Ethnicity
153281,Anti-Black or African American,Racial or Ethnicity
153282,Anti-Black or African American,Racial or Ethnicity
153283,Anti-Black or African American,Racial or Ethnicity
153284,Anti-Black or African American,Racial or Ethnicity
153285,Anti-Black or African American,Racial or Ethnicity
153286,Anti-Other Religion,Religion or Belief
153287,Anti-White,Racial or Ethnicity
153288,"Anti-Multiple Races, Group",Racial or Ethnicity
153289,Anti-Jewish,Religion or Belief
153290,Anti-Black or African American,Racial or Ethnicity
153291,Anti-Other Religion,Religion or Belief
153292,Anti-Black or African American,Racial or Ethnicity
153293,Anti-Jewish,Religion or Belief
153294,Anti-Asian,Racial or Ethnicity
153295,Anti-Black or African American,Racial or Ethnicity
153296,Anti-Lesbian (Female),Sexual Orientation
153297,Anti-Black or African American,Racial or Ethnicity
153298,Anti-Gay (Male),Sexual Orientation
153299,Anti-Black or African American,Racial or Ethnicity
153300,Anti-Black or African American,Racial or Ethnicity
153301,Anti-Black or African American,Racial or Ethnicity
153302,Anti-Black or African American,Racial or Ethnicity
153303,Anti-Black or African American,Racial or Ethnicity
153304,Anti-Black or African American,Racial or Ethnicity
153305,Anti-Black or African American,Racial or Ethnicity
153306,Anti-Black or African American,Racial or Ethnicity
153307,Anti-Black or African American,Racial or Ethnicity
153308,Anti-Black or African American,Racial or Ethnicity
153309,Anti-Hispanic or Latino,Racial or Ethnicity
153310,Anti-White,Racial or Ethnicity
153311,Anti-White,Racial or Ethnicity
153312,Anti-White,Racial or Ethnicity
153313,Anti-Black or African American,Racial or Ethnicity
153314,Anti-White,Racial or Ethnicity
153315,Anti-White,Racial or Ethnicity
153316,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153317,Anti-White,Racial or Ethnicity
153318,Anti-Black or African American,Racial or Ethnicity
153319,"Anti-Multiple Religions, Group",Religion or Belief
153320,Anti-Black or African American,Racial or Ethnicity
153321,Anti-White,Racial or Ethnicity
153322,Anti-Black or African American,Racial or Ethnicity
153323,Anti-Black or African American,Racial or Ethnicity
153324,Anti-Gay (Male),Sexual Orientation
153325,Anti-Black or African American,Racial or Ethnicity
153326,Anti-Black or African American,Racial or Ethnicity
153327,Anti-Black or African American,Racial or Ethnicity
153328,Anti-Gay (Male),Sexual Orientation
153329,Anti-Black or African American,Racial or Ethnicity
153330,Anti-Black or African American,Racial or Ethnicity
153331,Anti-Black or African American,Racial or Ethnicity
153332,Anti-Hispanic or Latino,Racial or Ethnicity
153333,Anti-White,Racial or Ethnicity
153334,Anti-Black or African American,Racial or Ethnicity
153335,Anti-Black or African American,Racial or Ethnicity
153336,Anti-Atheism/Agnosticism,Religion or Belief
153337,Anti-Black or African American,Racial or Ethnicity
153338,Anti-Islamic (Muslim),Religion or Belief
153339,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153340,Anti-Gay (Male),Sexual Orientation
153341,Anti-Islamic (Muslim),Religion or Belief
153342,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153343,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153344,Anti-Gay (Male),Sexual Orientation
153345,Anti-Black or African American,Racial or Ethnicity
153346,Anti-Black or African American,Racial or Ethnicity
153347,Anti-White,Racial or Ethnicity
153348,Anti-White,Racial or Ethnicity
153349,Anti-Black or African American,Racial or Ethnicity
153350,Anti-Gay (Male),Sexual Orientation
153351,Anti-Jewish,Religion or Belief
153352,Anti-Gay (Male),Sexual Orientation
153353,Anti-Jewish,Religion or Belief
153354,Anti-Black or African American,Racial or Ethnicity
153355,Anti-Physical Disability,Disability
153356,Anti-Islamic (Muslim),Religion or Belief
153357,Anti-Black or African American,Racial or Ethnicity
153358,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153359,Anti-Black or African American,Racial or Ethnicity
153360,Anti-Black or African American,Racial or Ethnicity
153361,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153362,"Anti-Multiple Religions, Group",Religion or Belief
153363,Anti-Islamic (Muslim),Religion or Belief
153364,Anti-Islamic (Muslim),Religion or Belief
153365,Anti-Black or African American,Racial or Ethnicity
153366,Anti-Black or African American,Racial or Ethnicity
153367,Anti-Protestant,Religion or Belief
153368,Anti-Black or African American,Racial or Ethnicity
153369,Anti-Islamic (Muslim),Religion or Belief
153370,Anti-Gay (Male),Sexual Orientation
153371,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153372,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153373,Anti-Gay (Male),Sexual Orientation
153374,Anti-Other Religion,Religion or Belief
153375,Anti-Gay (Male),Sexual Orientation
153376,Anti-Gay (Male),Sexual Orientation
153377,Anti-Gay (Male),Sexual Orientation
153378,Anti-Black or African American,Racial or Ethnicity
153379,Anti-Black or African American,Racial or Ethnicity
153380,Anti-White,Racial or Ethnicity
153381,Anti-Black or African American,Racial or Ethnicity
153382,Anti-Black or African American,Racial or Ethnicity
153383,Anti-White,Racial or Ethnicity
153384,Anti-Black or African American,Racial or Ethnicity
153385,Anti-Black or African American,Racial or Ethnicity
153386,Anti-White,Racial or Ethnicity
153387,Anti-American Indian or Alaska Native,Racial or Ethnicity
153388,Anti-Gay (Male),Sexual Orientation
153389,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153390,Anti-Black or African American,Racial or Ethnicity
153391,Anti-American Indian or Alaska Native,Racial or Ethnicity
153392,Anti-Other Religion,Religion or Belief
153393,Anti-Black or African American,Racial or Ethnicity
153394,Anti-Other Religion,Religion or Belief
153395,Anti-Black or African American,Racial or Ethnicity
153396,Anti-Black or African American,Racial or Ethnicity
153397,Anti-Black or African American,Racial or Ethnicity
153398,Anti-Gay (Male),Sexual Orientation
153399,Anti-Black or African American,Racial or Ethnicity
153400,Anti-Black or African American,Racial or Ethnicity
153401,Anti-Black or African American,Racial or Ethnicity
153402,Anti-Heterosexual,Gender Identity
153403,Anti-Black or African American,Racial or Ethnicity
153404,Anti-Black or African American,Racial or Ethnicity
153405,Anti-Black or African American,Racial or Ethnicity
153406,Anti-White,Racial or Ethnicity
153407,Anti-Other Religion,Religion or Belief
153408,Anti-Catholic,Religion or Belief
153409,Anti-Black or African American,Racial or Ethnicity
153410,Anti-White,Racial or Ethnicity
153411,Anti-White,Racial or Ethnicity
153412,Anti-White,Racial or Ethnicity
153413,Anti-White,Racial or Ethnicity
153414,Anti-Islamic (Muslim),Religion or Belief
153415,Anti-White,Racial or Ethnicity
153416,Anti-White,Racial or Ethnicity
153417,Anti-White,Racial or Ethnicity
153418,Anti-Gay (Male),Sexual Orientation
153419,Anti-Islamic (Muslim),Religion or Belief
153420,Anti-Black or African American,Racial or Ethnicity
153421,Anti-Black or African American,Racial or Ethnicity
153422,Anti-Black or African American,Racial or Ethnicity
153423,Anti-Gay (Male),Sexual Orientation
153424,Anti-White,Racial or Ethnicity
153425,Anti-Black or African American,Racial or Ethnicity
153426,Anti-Black or African American,Racial or Ethnicity
153427,Anti-Black or African American,Racial or Ethnicity
153428,Anti-Black or African American,Racial or Ethnicity
153429,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153430,Anti-Black or African American,Racial or Ethnicity
153431,Anti-Gay (Male),Sexual Orientation
153432,Anti-Black or African American,Racial or Ethnicity
153433,Anti-Black or African American,Racial or Ethnicity
153434,Anti-Black or African American,Racial or Ethnicity
153435,Anti-Black or African American,Racial or Ethnicity
153436,Anti-Islamic (Muslim),Religion or Belief
153437,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153438,Anti-Lesbian (Female),Sexual Orientation
153439,Anti-American Indian or Alaska Native,Racial or Ethnicity
153440,Anti-Black or African American,Racial or Ethnicity
153441,Anti-Black or African American,Racial or Ethnicity
153442,Anti-Hispanic or Latino,Racial or Ethnicity
153443,Anti-Hispanic or Latino,Racial or Ethnicity
153444,Anti-Lesbian (Female),Sexual Orientation
153445,Anti-Lesbian (Female),Sexual Orientation
153446,Anti-Black or African American,Racial or Ethnicity
153447,Anti-Black or African American,Racial or Ethnicity
153448,Anti-Black or African American,Racial or Ethnicity
153449,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153450,Anti-Gay (Male),Sexual Orientation
153451,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153452,Anti-Black or African American,Racial or Ethnicity
153453,Anti-Gay (Male),Sexual Orientation
153454,Anti-Black or African American,Racial or Ethnicity
153455,Anti-Black or African American,Racial or Ethnicity
153456,Anti-Black or African American,Racial or Ethnicity
153457,Anti-White,Racial or Ethnicity
153458,Anti-Black or African American,Racial or Ethnicity
153459,Anti-Black or African American,Racial or Ethnicity
153460,Anti-Black or African American,Racial or Ethnicity
153461,Anti-Mental Disability,Disability
153462,Anti-Black or African American,Racial or Ethnicity
153463,Anti-Gay (Male),Sexual Orientation
153464,Anti-Gay (Male),Sexual Orientation
153465,Anti-Heterosexual,Gender Identity
153466,Anti-Jewish,Religion or Belief
153467,Anti-Hispanic or Latino,Racial or Ethnicity
153468,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153469,Anti-Jewish,Religion or Belief
153470,Anti-White,Racial or Ethnicity
153471,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Sexual Orientation
153472,Anti-Gay (Male),Sexual Orientation
153473,Anti-Asian,Racial or Ethnicity
153474,Anti-Lesbian (Female),Sexual Orientation
153475,Anti-Gay (Male),Sexual Orientation
153476,Anti-Gay (Male),Sexual Orientation
153477,Anti-Other Race/Ethnicity/Ancestry,Racial or Ethnicity
153478,Anti-Jewish,Religion or Belief
153479,Anti-Gay (Male),Sexual Orientation
153480,Anti-Gay (Male),Sexual Orientation
153481,Anti-Black or African American,Racial or Ethnicity
153482,Anti-White,Racial or Ethnicity
153483,Anti-Gay (Male),Sexual Orientation
153484,Anti-Gay (Male),Sexual Orientation
153485,Anti-White,Racial or Ethnicity
153486,Anti-Gay (Male),Sexual Orientation
153487,Anti-White,Racial or Ethnicity
153488,Anti-Gay (Male),Sexual Orientation
153489,Anti-Gay (Male),Sexual Orientation
153490,Anti-Hispanic or Latino,Racial or Ethnicity
153491,Anti-Islamic (Muslim),Religion or Belief
153492,Anti-White,Racial or Ethnicity
153493,Anti-Islamic (Muslim),Religion or Belief
153494,Anti-American Indian or Alaska Native,Racial or Ethnicity
153495,Anti-Islamic (Muslim),Religion or Belief
153496,Anti-Jewish,Religion or Belief
153497,Anti-Heterosexual,Gender Identity
153498,Anti-Lesbian (Female),Sexual Orientation
153499,Anti-Asian,Racial or Ethnicity
153500,Anti-White,Racial or Ethnicity
153501,Anti-Gay (Male),Sexual Orientation
153502,Anti-Hispanic or Latino,Racial or Ethnicity
